Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Bronstein,PhoebeMalan",CAT87-FreshmanSeminar(A),WI18,11,10,100.0%,100.0%,2.10,A(4.00),N/A
"Algaze,Guillermo","CAT1-Culture,Art&TechnologyI(A)",FA17,82,60,70.2%,78.6%,3.48,B+(3.43),B+(3.60)
"Bronstein,PhoebeMalan","CAT1-Culture,Art&TechnologyI(B)",FA17,167,138,74.8%,85.3%,4.11,B+(3.31),B(3.28)
"Borgo,DavidGarcia","CAT1-Culture,Art&TechnologyI(C)",FA17,133,109,64.8%,84.9%,3.43,B+(3.62),B(3.25)
"Pantoja,JenniferMetten","CAT1-Culture,Art&TechnologyI(D)",FA17,157,149,91.9%,97.2%,4.22,B+(3.56),B+(3.54)
"Tronzo,William","CAT1-Culture,Art&TechnologyI(E)",FA17,122,68,69.7%,71.2%,2.29,B+(3.62),B+(3.46)
"Bigham,DavidJoseph","CAT1-Culture,Art&TechnologyI(F)",FA17,145,89,81.7%,92.6%,3.95,B+(3.32),B+(3.40)
"Pantoja,JenniferMetten",CAT124-SixthCollegePracticum(A),FA17,6,5,100.0%,100.0%,2.90,A-(3.80),N/A
"Cantrell,JoeLeo",CAT125-PublicRhetoric&PractCommun(A),FA17,153,59,66.1%,78.6%,3.39,B+(3.68),B+(3.69)
"Bigham,DavidJoseph",CAT125-PublicRhetoric&PractCommun(B),FA17,165,86,75.6%,92.6%,4.07,B+(3.57),B(3.26)
"Sartor,Alexandra",CAT125R-PblcRhetoricPrctCommOnline(A),FA17,195,145,79.9%,95.8%,3.81,B+(3.58),B+(3.55)
"Bigham,DavidJoseph",CAT125R-PblcRhetoricPrctCommOnline(A),S117,174,35,87.5%,90.6%,5.13,B+(3.65),B+(3.55)
"Stalbaum,Brett",CAT124-SixthCollegePracticum(A),SP17,23,9,85.7%,100.0%,4.50,B+(3.57),A(4.00)
"Forbes,DianeA",CAT125-PublicRhetoric&PractCommun(A),SP17,172,96,82.6%,93.5%,4.70,B+(3.63),B+(3.58)
"Smith,AshleyElizabeth",CAT125-PublicRhetoric&PractCommun(B),SP17,144,131,92.3%,95.4%,5.16,B+(3.66),A-(3.73)
"Bronstein,PhoebeMalan","CAT3-Culture,Art&TechnologyIII(A)",SP17,186,111,56.5%,64.1%,3.52,B+(3.39),B+(3.45)
"Smith,AshleyElizabeth","CAT3-Culture,Art&TechnologyIII(B)",SP17,145,124,57.3%,60.7%,5.66,B+(3.41),B+(3.44)
"Burgasser,AdamJonathan","CAT3-Culture,Art&TechnologyIII(C)",SP17,166,101,76.6%,87.2%,4.29,B+(3.47),B+(3.47)
"Bigham,DavidJoseph","CAT3-Culture,Art&TechnologyIII(D)",SP17,170,87,66.7%,91.4%,3.65,B+(3.33),B+(3.31)
