Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Houskeeper,Robert",MGT134-FederalTaxation-Individuals(A),SP19,32,26,92.3%,96.2%,4.50,B+(3.58),B+(3.64)
"Anderson,JohnCharles",MGT135-FederalTaxation-Companies(A),SP19,18,15,100.0%,100.0%,5.30,B+(3.53),N/A
"Lindenberger,WadeDouglas",MGT136-AdvancedAccounting(A),SP19,103,103,94.2%,98.1%,4.89,B+(3.48),B+(3.34)
"Lindenberger,WadeDouglas",MGT137-FinancialStatementAnalysis(A),SP19,84,72,98.6%,97.2%,3.65,A-(3.79),A-(3.79)
"Perols,JohanLars",MGT153-BusinessAnalytics(A),SP19,80,58,91.4%,96.6%,5.48,B+(3.49),B(3.21)
"Bohn,RogerE",MGT153-BusinessAnalytics(B),SP19,72,30,37.9%,28.6%,7.57,C+(2.32),B(3.05)
"Campbell,RobertHarold",MGT16-PersonalEthicsatWork(A),SP19,128,115,98.2%,97.3%,3.23,B+(3.63),B(3.13)
"Campbell,RobertHarold",MGT16-PersonalEthicsatWork(B),SP19,128,107,99.0%,100.0%,3.59,B+(3.68),B(3.13)
"Lindenberger,WadeDouglas",MGT16-PersonalEthicsatWork(C),SP19,92,81,96.2%,98.7%,2.73,A-(3.86),B+(3.69)
"Buchanan,HaroldG",MGT16-PersonalEthicsatWork(D),SP19,60,59,84.7%,89.8%,3.35,B+(3.44),B(3.20)
"Demill,Burritt",MGT162-Negotiation(A),SP19,77,62,98.3%,100.0%,2.93,B+(3.70),B+(3.49)
"McKay,MaryA",MGT164-BusinessandOrgLeadership(A),SP19,80,73,91.8%,94.5%,4.36,B(3.04),C+(2.70)
"Meyer,AlisonBloomfield",MGT164-BusinessandOrgLeadership(B),SP19,79,64,98.4%,100.0%,5.44,B+(3.69),A-(3.77)
"Zimmermann,Carsten",MGT164-BusinessandOrgLeadership(C),SP19,85,65,95.4%,96.9%,5.18,B+(3.62),B(3.28)
"Moran,CathleenL.",MGT166-CorpSocialResponsibility(A),SP19,72,70,82.9%,88.6%,4.84,B+(3.30),B(3.23)
"Moran,CathleenL.",MGT166-CorpSocialResponsibility(B),SP19,79,70,88.4%,87.0%,5.15,B(3.25),B(3.23)
"Moran,CathleenL.",MGT166-CorpSocialResponsibility(C),SP19,63,63,85.7%,87.1%,4.72,B+(3.31),B(3.23)
"Jacob,JoDeeC",MGT167-SocialEntrepreneurship(A),SP19,79,56,94.3%,94.3%,3.09,B+(3.59),B+(3.47)
"Hedges,Kathleen",MGT172-BusinessProjectManagement(A),SP19,120,98,94.8%,99.0%,4.79,B+(3.55),B(3.12)
"Royal,Rebecca",MGT172-BusinessProjectManagement(A),SP19,120,98,94.8%,94.8%,4.79,B+(3.55),B(3.18)
"Hedges,Kathleen",MGT172-BusinessProjectManagement(B),SP19,79,67,92.5%,97.0%,4.08,B+(3.64),B(3.12)
"Zimmermann,Carsten",MGT172-BusinessProjectManagement(C),SP19,85,69,91.0%,94.0%,3.69,B+(3.42),B+(3.37)
"Fuller,RobertL.",MGT173-ProjectMgt-HealthServices(A),SP19,86,73,93.0%,91.5%,3.68,A-(3.89),B+(3.65)
