Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Styler,WilliamFrancis",LIGN101-Introduction/StudyofLanguage(A),FA18,119,76,100.0%,100.0%,4.10,B+(3.67),B+(3.36)
"Garellek,Marc",LIGN110-Phonetics(A),FA18,72,67,95.5%,98.5%,3.80,B+(3.55),B+(3.56)
"Lott,MargaretS.",LIGN146-Sociolinguistics/DeafCommunit(A),FA18,24,20,90.0%,89.5%,2.40,B+(3.60),B+(3.52)
"Bergen,Leon",LIGN167-DeepLearning/NaturalLanguage(A),FA18,158,43,87.8%,92.5%,6.55,B+(3.57),B+(3.60)
"Kluender,Robert",LIGN179-SecondLangAcquisitionResrc(A),FA18,38,31,90.0%,96.6%,8.05,B(3.00),B-(2.72)
"Kluender,Robert",LIGN180-LangRepresentationinBrain(A),FA18,59,48,81.3%,89.6%,6.76,B-(2.98),B-(2.74)
"Goodall,GrantTodd",LIGN5-LinguisticsofInventedLang(A),FA18,64,39,94.6%,100.0%,3.42,B+(3.54),B-(2.91)
"Biswas,Priyanka",LIGN8-Languages&Cultures/America(A),FA18,213,108,85.6%,91.3%,2.84,B+(3.57),B+(3.41)
"Alicio,Atilio",LIHL112F-FilipinoforFilipinoSpeakers(A),FA18,20,9,100.0%,100.0%,3.83,B+(3.40),B+(3.34)
"Hill,KimloanT.V.",LIHL114F-BeginningVietnameseforVietn(A),FA18,17,10,90.0%,90.0%,2.30,B+(3.50),N/A
"Sadegholvad,Elham",LIHL115F-KoreanforKoreanSpeakers(A),FA18,10,3,100.0%,100.0%,1.83,A(4.00),N/A
"Sadegholvad,Elham",LIHL117F-PersianforPersianSpeakers(A),FA18,17,14,100.0%,100.0%,5.42,A-(3.92),N/A
"Sadegholvad,Elham",LIHL119F-HindiforHindiSpeakers(A),FA18,26,9,100.0%,100.0%,3.39,A(4.00),B+(3.70)
"Hill,KimloanT.V.",LIHL124F-IntVietnamese/VietnameseSpkr(A),FA18,16,4,100.0%,100.0%,3.17,A(4.00),N/A
"Alicio,Atilio",LIHL132F-AdvFilipino/FilipinoSpkrs(A),FA18,13,6,100.0%,100.0%,3.30,B+(3.50),N/A
"Hill,KimloanT.V.",LIHL134F-AdvVietnamese/VietnameseSpkr(A),FA18,11,6,100.0%,100.0%,2.50,A(4.00),N/A
"MunozSanchez,Alicia",LISP18-IntermedSpanish/HealthSci(A),FA18,12,10,100.0%,100.0%,2.50,A-(3.83),N/A
"McCollum,AdamGatlin",LIGN101-Introduction/StudyofLanguage(A),S218,23,20,100.0%,100.0%,5.30,B+(3.67),B+(3.67)
