Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Dean,DallawrenceEdward",EDS23-HigherEducationSecondYear(A),WI19,54,23,94.7%,94.4%,1.03,A(4.00),A-(3.99)
"Dean,DallawrenceEdward",EDS23-HigherEducationSecondYear(B),WI19,32,15,100.0%,100.0%,1.03,A-(3.86),A-(3.99)
"Dean,DallawrenceEdward",EDS25-AmHigherEdu&CollegiateExper(A),WI19,43,23,95.7%,100.0%,3.20,A-(3.70),A-(3.72)
"Heinzman,EricaM.",EDS39-ExploreSecondarySTEMEd(A),WI19,20,20,94.4%,100.0%,3.00,A-(3.70),A-(3.85)
"Dean,DallawrenceEdward",EDS116-Psych/Teach&Struc/Information(A),FA18,24,8,100.0%,87.5%,2.50,A(4.00),N/A
"Gallagher-Geurtsen,TriciaMeghan","EDS117-Language,Culture&Education(A)",FA18,67,57,98.2%,100.0%,3.68,A-(3.80),A-(3.86)
"Chung,LuzMarina","EDS117-Language,Culture&Education(B)",FA18,83,33,90.3%,100.0%,5.92,A-(3.76),B+(3.65)
"Rodriguez,VictoriaCalip",EDS118-AdolescentDevlp&Education(A),FA18,55,38,94.7%,91.9%,4.29,B+(3.68),A-(3.83)
"Jones,Makeba",EDS120-Intro.toDesign-BasedRsrch(A),FA18,7,6,100.0%,100.0%,4.50,A(4.00),N/A
"Simon,ElizabethA",EDS124BR-TeachComputationalThinking(A),FA18,101,43,90.0%,95.0%,8.21,A-(3.76),B+(3.70)
"Allen,BobbieM","EDS125-Hist,Polic&Theory/BilingualEd(A)",FA18,55,48,97.9%,97.9%,4.96,A-(3.98),A(4.00)
"Binder,Amy",EDS126-SocialOrganization/Education(A),FA18,7,4,100.0%,100.0%,6.00,B(3.00),N/A
"Millstone,RachelDiana",EDS129A-Intro/Teach&Learn(Secondary)(A),FA18,48,44,100.0%,100.0%,6.05,A-(3.86),A-(3.81)
"Holtzman,CarenLynn",EDS130-Intro/AcadMent/ElemSchlStdn(A),FA18,56,32,93.3%,100.0%,5.34,A-(3.84),B+(3.65)
"WishardGuerra,AlisonG.",EDS131-EarlyChildDev&Education(A),FA18,43,19,78.9%,94.7%,8.61,A-(3.81),B+(3.69)
"Drake,KristyNicole",EDS136-Intro/AcadTut/SecondSchlStd(A),FA18,53,48,89.6%,95.8%,5.82,A-(3.79),B+(3.69)
"Hofstetter,Carolyn",EDS150-CASPTransferIntroCourse(A),FA18,19,13,91.7%,100.0%,3.00,A-(3.80),N/A
"VanNess,KarenClark",EDS150-CASPTransferIntroCourse(B),FA18,17,9,87.5%,100.0%,2.50,A(4.00),N/A
"Dean,DallawrenceEdward",EDS150-CASPTransferIntroCourse(C),FA18,26,13,92.3%,100.0%,2.65,A(4.00),N/A
"Dean,DallawrenceEdward",EDS25-AmHigherEdu&CollegiateExper(A),FA18,95,47,93.5%,91.1%,3.93,B+(3.54),B(3.10)
"Heinzman,EricaM.",EDS39-Prac/Sci&MathTeching/Learning(A),FA18,19,19,94.7%,100.0%,2.61,A-(3.89),N/A
"Hofstetter,Carolyn",EDS50-CASPFroshIntroCourse(A),FA18,22,12,90.9%,100.0%,2.86,A(4.00),N/A
"Hofstetter,Carolyn",EDS50-CASPFroshIntroCourse(B),FA18,27,19,88.9%,94.1%,1.94,A(4.00),N/A
"Dean,DallawrenceEdward",EDS50-CASPFroshIntroCourse(C),FA18,12,6,100.0%,100.0%,1.17,A(4.00),N/A
"Hofstetter,Carolyn",EDS50-CASPFroshIntroCourse(D),FA18,30,18,92.9%,92.3%,1.57,A-(3.86),N/A
"Hofstetter,Carolyn",EDS50-CASPFroshIntroCourse(E),FA18,19,9,88.9%,100.0%,1.61,A(4.00),N/A
"Dean,DallawrenceEdward",EDS50-CASPFroshIntroCourse(F),FA18,30,22,95.5%,100.0%,1.23,B+(3.67),N/A
"VanNess,KarenClark",EDS50-CASPFroshIntroCourse(G),FA18,8,5,100.0%,100.0%,1.70,N/A,N/A
"Hofstetter,Carolyn",EDS50-CASPFroshIntroCourse(H),FA18,29,15,76.9%,100.0%,0.65,A(4.00),N/A
"Jones,GabrielleAnastasia",EDS115-CogDevelopment&Education(A),S318,29,8,100.0%,100.0%,8.79,A(4.00),A(4.00)
"Black,AlisonMichelle","EDS117-Language,Culture&Education(A)",S318,43,8,85.7%,100.0%,9.07,A-(3.86),A-(3.97)
"Forbes,CherylA","EDS125-Hist,Polic&Theory/BilingualEd(B)",S318,28,3,100.0%,100.0%,10.50,A(4.00),A(4.00)
"Holtzman,CarenLynn",EDS128B-Intro/Teaching&Learning(Elem)(A),S318,26,6,100.0%,100.0%,10.90,A(4.00),A-(3.94)
"Dean,DallawrenceEdward",EDS20S-Intro/PrinciplesofLearning(A),S218,98,54,66.0%,81.3%,7.04,B+(3.46),N/A
"Dean,DallawrenceEdward",EDS25-AmHigherEdu&CollegiateExper(A),S218,294,156,86.2%,91.4%,4.79,B+(3.63),A-(3.73)
"Drake,KristyNicole",EDS137-Intro/Discipl/SpecificTeachng(A),S118,26,25,100.0%,100.0%,6.10,B+(3.68),A-(3.77)
"Cohen,ShanaR",EDS111-ChildFamilyCommunity(A),SP18,34,25,72.0%,87.5%,4.98,A-(3.71),A-(3.86)
"Gallagher-Geurtsen,TriciaMeghan",EDS112-U.S.UrbanEducation(A),SP18,33,29,96.6%,100.0%,5.67,A-(3.83),A-(3.75)
"Hofstetter,Carolyn",EDS116-Psych/Teach&Struc/Information(A),SP18,48,15,100.0%,100.0%,3.79,A(4.00),N/A
"Jones,Makeba","EDS117-Language,Culture&Education(A)",SP18,73,26,100.0%,100.0%,4.83,A-(3.88),A-(3.86)
"Lockton,Marie",EDS118-AdolescentDevlp&Education(A),SP18,47,17,94.1%,100.0%,3.32,A-(3.94),A-(3.76)
"Hopkins,MeganBeth","EDS125-Hist,Polic&Theory/BilingualEd(A)",SP18,59,46,97.8%,100.0%,4.07,A-(3.88),A-(3.96)
"VanSteenbergen,SuzanneMichele",EDS126-SocialOrganization/Education(A),SP18,33,27,100.0%,100.0%,3.39,A-(3.78),A-(3.94)
"Pappas,Elizabeth",EDS128B-Intro/Teaching&Learning(Elem)(A),SP18,27,15,100.0%,93.3%,5.43,A(4.00),A-(3.97)
"Heinzman,EricaM.",EDS129C-Intro/Teach&Learn(Secondary)(A),SP18,49,43,100.0%,100.0%,4.78,A-(3.93),A-(3.95)
"Scharton,SusanMichelle",EDS130-Intro/AcadMent/ElemSchlStdn(A),SP18,48,42,95.2%,100.0%,6.50,A-(3.90),A-(3.76)
"Chung,LuzMarina",EDS136-Intro/AcadTut/SecondSchlStd(A),SP18,46,33,93.9%,97.0%,5.89,A-(3.90),A-(3.91)
"Whiteside,LindaSue",EDS137-Intro/Discipl/SpecificTeachng(A),SP18,20,19,100.0%,100.0%,4.08,A-(3.83),A-(3.94)
"Mamas,Christoforos",EDS141-ActionResearchinPreK-12Edu(A),SP18,7,3,100.0%,100.0%,5.17,A(4.00),N/A
"Stevens,LauraJeanne",EDS30-IntroductiontoTeachingMath(A),SP18,5,5,100.0%,100.0%,0.50,B+(3.60),N/A
"Simon,ElizabethA",EDS87-FreshmanSeminar(B),SP18,11,6,100.0%,100.0%,2.10,A(4.00),N/A
"Chapman,ThandekaK",EDS112-U.S.UrbanEducation(A),WI18,53,24,100.0%,100.0%,3.25,A-(3.82),A-(3.83)
"Contreras,FrancesE.",EDS113-Chicanas/os&LatinosinEdu(A),WI18,38,24,95.5%,95.5%,3.83,A-(3.70),A-(3.87)
"Cohen,ShanaR",EDS115-CogDevelopment&Education(A),WI18,42,18,94.1%,88.2%,3.94,A-(3.83),A-(3.83)
"Hofstetter,Carolyn",EDS116-Psych/Teach&Struc/Information(A),WI18,24,11,100.0%,100.0%,4.25,A(4.00),N/A
"Orozco,Agustin",EDS116-Psych/Teach&Struc/Information(A),WI18,24,11,100.0%,100.0%,4.25,A(4.00),N/A
"VanSteenbergen,SuzanneMichele","EDS117-Language,Culture&Education(A)",WI18,75,40,86.5%,89.2%,4.01,A-(3.82),A-(3.91)
"MunozSanchez,Alicia",EDS119-1st&2ndLangLrn:ChildtoAdol(A),WI18,11,3,66.7%,100.0%,4.50,B(3.00),N/A
"Simon,ElizabethA",EDS124AR-TeachComputation/DigitalWorld(A),WI18,30,10,100.0%,100.0%,8.79,A-(3.71),B+(3.69)
"Forbes,CherylA","EDS125-Hist,Polic&Theory/BilingualEd(A)",WI18,41,19,88.9%,94.4%,5.06,A-(3.94),A-(3.84)
"Jones,Makeba",EDS126-SocialOrganization/Education(B),WI18,49,26,92.3%,92.3%,3.58,A-(3.88),A-(3.80)
"Bresser,BernardGeorge",EDS128A-Intro/Teaching&Learning(Elem)(A),WI18,25,11,100.0%,100.0%,5.41,A-(3.91),A-(3.91)
"Black,AlisonMichelle",EDS129B-Intro/Teach&Learn(Secondary)(A),WI18,52,20,100.0%,100.0%,5.45,A(4.00),A-(3.94)
"Holtzman,CarenLynn",EDS130-Intro/AcadMent/ElemSchlStdn(A),WI18,33,20,100.0%,100.0%,6.10,A-(3.79),B+(3.60)
"Chung,LuzMarina",EDS136-Intro/AcadTut/SecondSchlStd(A),WI18,40,33,93.8%,100.0%,6.88,A-(3.81),B+(3.66)
"Whiteside,LindaSue",EDS137-Intro/Discipl/SpecificTeachng(A),WI18,13,12,100.0%,100.0%,3.67,A-(3.92),N/A
"Lu,Charles",EDS23-HigherEducationSecondYear(C),WI18,53,14,92.9%,92.3%,0.93,B(3.00),N/A
"Lu,Charles",EDS23-HigherEducationSecondYear(D),WI18,30,13,91.7%,90.9%,2.17,B+(3.50),N/A
"Harel,Guershon",EDS30-IntroductiontoTeachingMath(A),WI18,4,4,25.0%,50.0%,7.00,D+(1.67),N/A
"Heinzman,EricaM.",EDS39-Prac/Sci&MathTeching/Learning(A),WI18,16,15,100.0%,100.0%,3.57,A-(3.86),N/A
"Simon,ElizabethA",EDS87-FreshmanSeminar(A),WI18,18,13,100.0%,100.0%,1.88,A(4.00),N/A
"Simon,ElizabethA",EDS87-FreshmanSeminar(B),WI18,17,9,71.4%,100.0%,1.07,A(4.00),N/A
"Guthals,SarahMarie",EDS114-CognDevelp&IntractvComptEnv(A),FA17,20,5,100.0%,100.0%,4.00,A(4.00),A-(3.85)
"Garcia,DanikaJuly",EDS116-Psych/Teach&Struc/Information(A),FA17,10,3,100.0%,100.0%,5.83,N/A,N/A
