Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(B),WI10,11,6,100.0%,100.0%,0.83,A(4.00),N/A
"Verdicchio,Pasquale",FILM87-FilmStudiesFreshmanSeminar(D),WI10,9,6,100.0%,100.0%,0.50,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(E),WI10,15,9,100.0%,100.0%,0.50,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(A),FA09,12,10,90.0%,90.0%,0.50,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(A),SP09,17,18,100.0%,100.0%,0.83,B+(3.60),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(B),WI09,19,19,100.0%,100.0%,0.50,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(C),WI09,16,17,100.0%,100.0%,0.50,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(A),FA08,16,17,94.1%,87.5%,0.50,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(A),SP08,19,15,100.0%,100.0%,0.64,B+(3.50),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(B),SP08,16,17,100.0%,100.0%,0.74,N/A,N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(A),WI08,38,35,100.0%,100.0%,0.79,A-(3.71),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(A),FA07,20,21,95.2%,100.0%,0.88,A-(3.89),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(B),FA07,18,16,100.0%,100.0%,0.50,B+(3.50),N/A
